succes | Schitterende Successen 2025 | Het jaarmagazine 2025 vat het jaar samen in vier woorden: koers kiezen, samenwerken, bloei en oogst.
succes | Schitterende Successen 2025 | Achter elk cijfer in het jaarmagazine zit een gesprek, een samenwerking, een publicatie of een idee dat werkelijkheid werd.
succes | BKO Magazine | De rubriek "Kennismaken met" liep 18 afleveringen lang en gaf FPE letterlijk een gezicht — door onderzoekers elkaar te laten interviewen.
succes | MJP 2024-2030 | De kerntaak van het LIC, waar FPE onder valt, is samen te vatten in drie woorden: leren, innoveren, co-creëren.
succes | Schitterende Successen 2023 | In 2023 zei niemand nee: elke subsidieaanvraag die FPE indiende, werd gehonoreerd.
succes | Schitterende Successen 2024 | Een gift van de ASML Foundation viel hoger uit dan verwacht en gaf Digitale Didactiek een enorme boost richting inclusief onderwijs.
succes | Schitterende Successen 2024 | Na een halfjaar voorbereiding stond Peter Verkoeijen op het podium voor zijn oratie aan de Erasmus Universiteit — en de overweldigende reacties maakten alles meer dan waard.
succes | Schitterende Successen 2025 | Eén LinkedIn-post van Esther van der Stappen groeide binnen vier maanden uit tot een volledig uitgevoerd én afgerond Npuls-project.
succes | Schitterende Successen 2023 | Jongeren signaleerden zelf een probleem uit hun eigen leven, en dat idee groeide uit tot de Studentenwelzijnswijzer.
succes | Zelfevaluatie Expertisecentrum FPE 2022-2025 | De TRAIL-tool begon als klein onderdeel van een Europees project en groeide uit tot een tool die onderwijsontwikkelaars door heel Nederland gebruiken.
succes | Schitterende Successen 2024 | Waar FPE in 2022 begon als paraplu voor drie losse lectoraten, is het nu een hecht team dat samenwerkt aan het verbeteren van de onderwijspraktijk, zonder de eigen identiteit van de afzonderlijke lectoraten te verliezen. 
succes | Schitterende Successen 2024 | Onze doorwerkers zijn de schakel tussen onderzoek en praktijk. Zij zorgen ervoor dat de kennis die we ontwikkelen terechtkomt waar die nodig is: in de onderwijspraktijk.
succes | Schitterende Successen 2024 | FPE vergroot haar zichtbaarheid en invloed dankzij een actief ambassadeursnetwerk van vrienden en partners dat onze successen deelt, het eigen netwerk inzet en zo nieuwe verbindingen en strategische samenwerkingen mogelijk maakt.
succes | Schitterende Successen 2023 | De Motivatiemotor begon in het hoger onderwijs en vond daarna ook zijn weg naar het voortgezet onderwijs, waar het instrument met succes werd ingezet.
succes | Schitterende Successen 2023 | Brein en Leren kreeg middelen voor SELFLEX binnen de NRO-call voor grote vragen in het hoger onderwijs en kon daarmee grootschalig onderzoek doen naar de ondersteuning van zelfregulerend leren.
succes | Schitterende Successen 2023 | De doorwerkers van Brein en Leren bouwden een SharePoint rond formatief handelen, waarmee onderzoekskennis een vaste plek kreeg voor docenten binnen Avans.
succes | Schitterende Successen 2025 | Brein en Leren vierde zijn tienjarig bestaan samen met verschillende academies: een teken dat het lectoraat stevig is verankerd in het onderwijs van Avans.
succes | Schitterende Successen 2025 | Zelfregulerend leren groeide via een docentprofessionaliseringstraject uit tot een sterk thema binnen Verpleegkunde en kreeg inmiddels ook landelijke aandacht.
succes | Schitterende Successen 2023 | Digitale Didactiek ontwikkelde het bordspel Best of Both Worlds, waarmee onderwijsprofessionals het gesprek voeren over de balans tussen mens en technologie in het onderwijs; het spel kreeg aandacht op verschillende congressen en binnen onze academies.
succes | Schitterende Successen 2025 | 2025 was voor Digitale Didactiek een echt oogstjaar: meerdere tijdschriftartikelen werden ingediend en de focus verschoof steeds sterker naar het delen en toepassen van opgebouwde kennis.
succes | Schitterende Successen 2025 | Een sessie van Digitale Didactiek op het SIA-congres leverde nieuwe contacten en samenwerkingen op, doordat bezoekers in het onderzoek precies de expertise herkenden die zij zochten.
succes | Schitterende Successen 2025 | Meer dan 200 docenten namen deel aan workshops over Formatief Quizzen; onderzoek, professionalisering en doorwerking kwamen daarmee in één activiteit samen.
succes | Schitterende Successen 2025 | Bij het onderzoek naar Formatief Quizzen kwam in 2025 een praktische AI-toepassing: een hulpmiddel waarmee docenten met AI quizvragen kunnen genereren en direct in Brightspace kunnen importeren.
succes | Schitterende Successen 2023 | Het lectoraat Transdisciplinair Samenwerken in Onderwijs bracht studenten uit mbo, hbo en wo samen in één diverse onderzoeksgroep waarin studenten zelf actief deelnamen aan het onderzoek.
succes | Schitterende Successen 2023 | Het Comeniusnetwerk omarmde het idee achter de TRAIL-tool, waarna het lectoraat workshops gaf en een samenwerking met de Universiteit Twente ontstond.
succes | Schitterende Successen 2025 | Binnen Top Avans liepen onderzoek en onderwijs letterlijk naast elkaar: terwijl teams transdisciplinaire keuzemodules ontwikkelden, onderzocht het lectoraat het proces en deelde het inzichten direct terug met de praktijk.
succes | Schitterende Successen 2025 | De TRAIL-tool kreeg tijdens de Dutch Design Week en een expositie in OpenX een podium buiten Avans en bracht studenten, beleidsmakers en nieuwe doelgroepen met elkaar in gesprek over transdisciplinair samenwerken.


