FPE | Future-Proof Education, het expertisecentrum van Avans Hogeschool met drie lectoraten.
LIC | Leer- en Innovatiecentrum, de Avans-diensteenheid waar FPE onder valt. Kerntaak: leren, innoveren, co-creëren.
MJP | Het Meerjarenplan 2024-2030, het koersdocument van FPE.
Lectoraat | Een onderzoeksgroep geleid door een lector. FPE heeft er drie: Brein en Leren, Digitale Didactiek, en Transdisciplinair Samenwerken in Onderwijs.
Kenniskring | De groep (docent-)onderzoekers rond een lectoraat.
Doorwerker | De brugfunctie tussen onderzoek en onderwijspraktijk. Elk lectoraat heeft er twee.
Associate lector | Senior expert, verantwoordelijk voor een onderzoekslijn, begeleidt onderzoekers en projecten. FPE heeft er momenteel vijf.
AL | Afkorting voor associate lector, zoals gebruikt in organogrammen van FPE.
TSO | Transdisciplinair Samenwerken in Onderwijs, één van de drie lectoraten. 
B en L | Lectoraat Brein en Leren, lector Peter Verkoeijen
DD | Lectoraat Digitale Didactiek, lector Esther van der Stappen
R&R | Relevant en Robuust, het bezuinigings- en focusprogramma van Avans.
BKO-visitatie | De kwaliteitsvisitatie waar FPE goed uit naar voren kwam. Aandachtspunt: we komen soms wat intern gericht over — precies de reden achter onze huidige communicatiestrategie. BKO staat voor Brancheprotocol Kwaliteitszorg Onderzoek.
Synaps | De verdiepende essay-reeks van lectoraat Brein en Leren, genoemd naar de verbinding tussen hersencellen.
Kernteamoverleg | Het maandelijkse overleg van manager, lectoren, associate lectoren, senior onderzoekers en team ondersteuning.
Heidag | De tweejaarlijkse strategiedag van het kernteam.
Schitterende Successen | Het jaarmagazine van FPE, met interviews met manager, lectoren en andere medewerkers over de opbrengsten van het jaar.
CTLR | Center for Teaching Learning and Research, nog in ontwikkeling bij Avans, mogelijk relevant voor de toekomstige positionering van FPE.
CvB | College van Bestuur van Avans Hogeschool.
UAS | University of Applied Sciences; de richting waarin Avans zich verder wil ontwikkelen, van onderwijsinstelling naar kennisinstelling.
PDCA | Plan-Do-Check-Act, de kwaliteitscyclus waar ook de communicatie van FPE een vast onderdeel van is.
LLO | Leven Lang Ontwikkelen, het Avans-programma voor doorlopend leren en ontwikkelen, ook na de initiële opleiding.
Ad | Associate degree, een kort beroepsgericht opleidingstraject binnen Avans.
NKO | Nationaal Kennis Instituut: één van de subsidieverstrekkers/regelingen voor praktijkgericht onderzoek waar FPE actief calls van benut.
SIA | Stichting Innovatie Alliantie: één van de subsidieverstrekkers/regelingen voor praktijkgericht onderzoek waar FPE actief calls van benut.
NWO | Nederlandse Organisatie voor Wetenschappelijk Onderzoek, één van de fondsen waar FPE subsidies bij aanvraagt.
ZonMw | Subsidieverstrekker gericht op gezondheids- en zorgonderzoek, relevant voor een deel van FPE's onderzoeksfinanciering.
SURF | Samenwerkingsorganisatie voor ICT in onderwijs en onderzoek; één van de kansen/netwerken die FPE benut voor financiering.
Npuls | Nationaal groeifondsprogramma gericht op digitalisering in het onderwijs; één van de kansen die FPE benut.
PIONEER | Samenwerkingsverband waarmee FPE de ambitie heeft om meer ervaring op te doen met Europese subsidies (naast Erasmus+).
CoE | Centre of Expertise. De associate lectoren van FPE zorgen mede voor verbinding met het CoE Perspectief in Gezondheid.
DP&O | Dienst Personeel en Organisatie: de HR-afdeling van Avans
DI&T | Dienst Informatievoorziening & Technologie: de IT-club van Avans
DF&V | Dienst Facilitair en Vastgoed: dienst voor alles wat met onroerend goed te maken heeft. Doen ze vastgoed. 
BDB | Basiskwalificatie Didactische Bekwaamheid. Certificering voor docenten in het hoger beroepsonderwijs (hbo) om aan te tonen dat ze beschikken over de basisvaardigheden op het gebied van didactiek en onderwijsontwikkeling.
DMCS | Dienst Marketing Communicatie en Studentenzaken. Dienst waar Ferencz vandaan komt. Dus dan weet je het wel...



